"","CVE_ENT","CVE_MUN","NOM_MUN","Mx_Manglar","Mx_Mangl_1","Has_mun","Has_mangla"
"1","17","001","Amacuzac",0,0,11724.016,0
"2","17","002","Atlatlahucan",0,0,7938.014,0
"3","17","003","Axochiapan",0,0,14151.182,0
"4","17","004","Ayala",0,0,37705.931,0
"5","17","005","CoatlÃ¡n del RÃ­o",0,0,8339.884,0
"6","17","006","Cuautla",0,0,9713.82,0
"7","17","007","Cuernavaca",0,0,19971.517,0
"8","17","008","Emiliano Zapata",0,0,6825.938,0
"9","17","009","Huitzilac",0,0,18910.993,0
"10","17","010","Jantetelco",0,0,10226.685,0
"11","17","011","Jiutepec",0,0,5592.711,0
"12","17","012","Jojutla",0,0,15344.857,0
"13","17","013","Jonacatepec",0,0,9032.873,0
"14","17","014","Mazatepec",0,0,5790.984,0
"15","17","015","MiacatlÃ¡n",0,0,21545.19,0
"16","17","016","Ocuituco",0,0,8654.937,0
"17","17","017","Puente de Ixtla",0,0,29755.842,0
"18","17","018","Temixco",0,0,10275.799,0
"19","17","019","Tepalcingo",0,0,36864.406,0
"20","17","020","TepoztlÃ¡n",0,0,24239.32,0
"21","17","021","Tetecala",0,0,6768.34,0
"22","17","022","Tetela del VolcÃ¡n",0,0,9847.359,0
"23","17","023","Tlalnepantla",0,0,10786.36,0
"24","17","024","TlaltizapÃ¡n de Zapata",0,0,23846.161,0
"25","17","025","Tlaquiltenango",0,0,54394.199,0
"26","17","026","Tlayacapan",0,0,5720.411,0
"27","17","027","Totolapan",0,0,5997.636,0
"28","17","028","Xochitepec",0,0,9323.009,0
"29","17","029","Yautepec",0,0,19208.052,0
"30","17","030","Yecapixtla",0,0,17674.898,0
"31","17","031","Zacatepec",0,0,2634.383,0
"32","17","032","Zacualpan",0,0,5375.552,0
"33","17","033","Temoac",0,0,3708.58,0
"34","18","001","Acaponeta",9480579.66047911,0.664252160328312,142725.613,948.058
"35","18","002","AhuacatlÃ¡n",0,0,50480.059,0
"36","18","003","AmatlÃ¡n de CaÃ±as",0,0,51834.034,0
"37","18","004","Compostela",7330473.35186705,0.389790750708866,188061.757,733.047
"38","18","005","Huajicori",0,0,223742.187,0
"39","18","006","IxtlÃ¡n del RÃ­o",0,0,49301.414,0
"40","18","007","Jala",0,0,50361.783,0
"41","18","008","Xalisco",0,0,50375.088,0
"42","18","009","Del Nayar",0,0,514246.232,0
"43","18","010","Rosamorada",140397553.199746,7.62763245725515,184064.392,14039.755
"44","18","011","RuÃ­z",0,0,52059.637,0
"45","18","012","San Blas",69309435.6958254,6.27772968707793,110405.257,6930.944
"46","18","013","San Pedro Lagunillas",0,0,51567.852,0
"47","18","014","Santa MarÃ­a del Oro",0,0,109139.756,0
"48","18","015","Santiago Ixcuintla",244425725.718186,14.1380944507515,172884.491,24442.573
"49","18","016","Tecuala",143894484.413876,13.7726638215141,104478.325,14389.448
"50","18","017","Tepic",0,0,163524.508,0
"51","18","018","Tuxpan",59511044.4712659,18.9570709910614,31392.531,5951.104
"52","18","019","La Yesca",0,0,431675.423,0
"53","18","020","BahÃ­a de Banderas",1119025.93468729,0.145072771850947,77135.49,111.903
"54","19","001","Abasolo",0,0,4687.832,0
"55","19","002","Agualeguas",0,0,98087.675,0
"56","19","003","Los Aldamas",0,0,69451.292,0
"57","19","004","Allende",0,0,19045.226,0
"58","19","005","AnÃ¡huac",0,0,453921.666,0
"59","19","006","Apodaca",0,0,22471.145,0
"60","19","007","Aramberri",0,0,268862.872,0
"61","19","008","Bustamante",0,0,46671.275,0
"62","19","009","Cadereyta JimÃ©nez",0,0,114085.825,0
"63","19","010","El Carmen",0,0,10438.368,0
"64","19","011","Cerralvo",0,0,100748.718,0
"65","19","012","CiÃ©nega de Flores",0,0,13873.539,0
"66","19","013","China",0,0,426570.529,0
"67","19","014","Doctor Arroyo",0,0,505366.536,0
"68","19","015","Doctor Coss",0,0,72073.509,0
"69","19","016","Doctor GonzÃ¡lez",0,0,61470.863,0
"70","19","017","Galeana",0,0,706828.185,0
"71","19","018","GarcÃ­a",0,0,103201.225,0
"72","19","019","San Pedro Garza GarcÃ­a",0,0,7078.226,0
"73","19","020","General Bravo",0,0,188859.554,0
"74","19","021","General Escobedo",0,0,14892.543,0
"75","19","022","General TerÃ¡n",0,0,247884.349,0
"76","19","023","General TreviÃ±o",0,0,38792.718,0
"77","19","024","General Zaragoza",0,0,130667.301,0
"78","19","025","General Zuazua",0,0,18449.433,0
"79","19","026","Guadalupe",0,0,11769.497,0
"80","19","027","Los Herreras",0,0,49654.974,0
"81","19","028","Higueras",0,0,44317.976,0
"82","19","029","Hualahuises",0,0,12779.163,0
"83","19","030","Iturbide",0,0,56050.709,0
