ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2_F,P_0A2_M,P_3A5_F,P_3A5_M,P_6A11_F,P_6A11_M,P_12A14_F,P_12A14_M,P_60YMAS,P_60YMAS_F,P_60YMAS_M,POB0_14,P3HLINHE,P3HLINHE_F,P3HLINHE_M,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCON_LIMI,PCLIM_PMEN,GRAPROES,GRAPROES_F,GRAPROES_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PHOGJEF_F,PHOGJEF_M,VIVTOT,VPH_PISOTI,VPH_S_ELEC,VPH_AGUAFV,VPH_NODREN,VPH_SNBIEN,VPH_RADIO,VPH_TV,CVEGEO,AMBITO,SUP_HAS,LIT1000,LIT5000,MANGLAR1km,MANGLAR5km,SUP_MAG_HA,CUENTA_ATLAS,ANIO_ATLAS,CUENTA_PPC,CUENTA_UPC,X,Y
02,Baja California,001,Ensenada,0001,Ensenada,"116°35'42.482"" W","31°48'32.198"" N",0018,330652,167339,163313,6277,6506,7265,7313,14483,14973,7544,7659,41392,22414,18978,72020,10,7,3,4869,6021,2969,3052,14776,33766,4823,10.96,10.96,10.97,2438,811,1627,49219,109029,219352,121224,1227,605,2360,1065,360,69181,99195,020010001,Urbana,7917.3433000000005,1,1,0,0,0,1,2011,1,1,-116.59513388888888,31.80894388888889
02,Baja California,001,Ensenada,0095,Ejido Eréndira,"116°22'17.022"" W","31°16'23.965"" N",0016,1711,819,892,32,70,51,38,87,104,48,40,182,76,106,470,0,0,0,208,21,12,9,102,277,11,7.71,7.79,7.64,20,2,18,338,457,1254,729,27,29,50,105,7,140,410,020010095,Rural,124.0261,1,1,0,0,0,1,2011,1,1,-116.37139499999999,31.27332361111111
02,Baja California,001,Ensenada,0124,Isla de Cedros,"115°11'34.000"" W","28°05'44.000"" N",0000,1233,582,651,22,28,23,30,71,77,31,28,149,81,68,310,0,0,0,5,109,45,64,70,171,13,9.69,9.91,9.49,8,2,6,119,288,891,630,3,2,5,0,1,202,381,020010124,Rural,234.8115,1,1,0,0,0,1,2011,1,1,-115.19277777777778,28.095555555555553
02,Baja California,001,Ensenada,0139,Rodolfo Sánchez Taboada (Maneadero),"116°34'17.366"" W","31°43'24.783"" N",0032,27969,13921,14048,750,747,777,822,1572,1544,799,784,2562,1285,1277,7795,161,102,59,5318,356,168,188,1363,2503,328,8.26,8.31,8.21,225,59,166,6790,8664,19228,9782,206,361,671,1006,149,4465,6694,020010139,Urbana,938.0133,0,1,0,0,0,1,2011,1,1,-116.57149055555556,31.72355083333333
02,Baja California,001,Ensenada,0151,La Misión,"116°51'03.404"" W","32°05'36.282"" N",0024,1122,541,581,24,30,23,31,52,49,23,36,153,83,70,268,0,0,0,27,3,2,1,49,111,10,8.42,8.54,8.3,11,0,11,330,331,772,432,1,2,6,8,1,189,319,020010151,Rural,77.2332,0,1,0,0,0,1,2011,1,1,-116.85094555555555,32.09341166666667
02,Baja California,001,Ensenada,0184,Coronel Esteban Cantú,"116°38'27.488"" W","31°42'18.819"" N",0017,545,261,284,13,14,17,9,27,32,12,19,72,25,47,143,0,0,0,0,50,24,26,38,63,12,9.54,9.97,9.17,1,0,1,130,135,410,288,2,5,5,17,0,147,174,020010184,Rural,37.1875,1,1,0,0,0,1,2011,1,1,-116.64096888888889,31.7052275
02,Baja California,001,Ensenada,0247,El Sauzal de Rodríguez,"116°41'55.331"" W","31°53'46.394"" N",0010,11371,5666,5705,211,225,246,248,472,500,238,273,1656,864,792,2413,0,0,0,79,276,108,168,538,1257,213,11.18,11.13,11.23,82,30,52,1464,3298,8073,4261,98,35,43,45,16,2363,3447,020010247,Urbana,706.4035,1,1,0,0,0,1,2011,1,1,-116.69870305555555,31.896220555555555
02,Baja California,001,Ensenada,0329,La Bufadora,"116°42'49.913"" W","31°43'22.392"" N",0020,100,47,53,0,1,0,1,0,1,1,1,64,30,34,5,0,0,0,2,2,0,2,5,20,0,12.66,12.87,12.47,0,0,0,70,23,77,160,0,1,0,2,0,33,44,020010329,Rural,52.4412,1,1,0,0,0,1,2011,1,1,-116.71386472222223,31.722886666666664
02,Baja California,001,Ensenada,0677,El Ramajal,"116°37'29.392"" W","31°41'08.164"" N",0107,67,36,31,3,2,1,0,2,1,0,1,25,14,11,10,0,0,0,0,0,0,0,10,11,1,11.07,11.83,10.22,0,0,0,10,27,40,62,1,1,0,1,0,24,33,020010677,Rural,31.7029,1,1,0,0,0,1,2011,1,1,-116.6248311111111,31.68560111111111
02,Baja California,001,Ensenada,0736,Puerto San Isidro,"116°24'09.310"" W","31°17'21.220"" N",0014,109,53,56,1,0,2,4,6,1,1,2,23,10,13,17,0,0,0,0,6,3,3,12,18,2,9.26,9.42,9.13,0,0,0,30,17,92,160,0,1,0,1,0,24,35,020010736,Rural,40.2905,1,1,0,0,0,1,2011,1,1,-116.40258611111112,31.28922777777778
02,Baja California,001,Ensenada,1115,Aguacaliente,"116°39'38.502"" W","31°43'04.610"" N",0000,24,12,12,0,0,1,0,0,0,0,0,12,4,8,1,0,0,0,0,4,2,2,0,9,0,16.39,17,15.83,0,0,0,20,12,12,64,0,0,0,0,0,13,13,020011115,Rural,8.2553,1,1,0,0,0,1,2011,1,1,-116.660695,31.71794722222222
02,Baja California,001,Ensenada,1297,Colonia Costa Azul,"116°36'26.716"" W","31°44'36.534"" N",0004,157,74,83,1,4,6,5,9,5,4,5,30,13,17,39,0,0,0,0,1,1,0,15,5,2,8.14,8.48,7.86,0,0,0,35,44,91,46,0,3,2,0,1,30,30,020011297,Rural,13.1351,0,1,0,0,0,1,2011,1,1,-116.60742111111111,31.743481666666668
02,Baja California,001,Ensenada,1309,Cuatro Milpas,"116°40'21.525"" W","31°53'44.533"" N",0042,337,175,162,7,3,9,7,14,13,16,8,50,23,27,77,0,0,0,7,2,2,0,21,40,10,10.7,10.72,10.68,2,2,0,65,199,138,145,4,8,23,12,3,65,88,020011309,Rural,45.8463,1,1,0,0,0,1,2011,1,1,-116.67264583333333,31.89570361111111
02,Baja California,001,Ensenada,1444,La Jolla [Campo Turístico],"116°40'06.677"" W","31°42'52.866"" N",0012,137,65,72,1,0,1,1,3,8,1,5,70,34,36,20,0,0,0,0,0,0,0,9,36,4,12.58,12.73,12.43,0,0,0,85,53,84,509,2,0,2,1,0,49,68,020011444,Rural,43.0991,1,1,0,0,0,1,2011,1,1,-116.66852138888889,31.714685
02,Baja California,001,Ensenada,1812,San Miguel (Cíbolas de Mar),"116°43'27.807"" W","31°54'24.451"" N",0057,205,101,104,1,1,2,3,7,6,1,3,82,42,40,24,0,0,0,4,0,0,0,5,15,4,16.51,15.56,17.46,1,0,1,32,61,144,131,1,0,0,0,0,55,76,020011812,Rural,37.745,1,1,0,0,0,1,2011,1,1,-116.72439083333333,31.906791944444443
02,Baja California,001,Ensenada,1957,El Vergel [Campo],"114°42'02.112"" W","30°41'42.659"" N",0010,19,8,11,0,1,2,0,0,2,0,1,3,1,2,6,0,0,0,0,0,0,0,0,7,0,9.85,9.5,10.14,0,0,0,4,11,8,82,0,0,0,0,0,6,7,020011957,Rural,19.8637,1,1,0,0,0,1,2011,1,1,-114.70058666666667,30.695183055555557
02,Baja California,001,Ensenada,2007,Lomas del Escorpión,"116°33'38.581"" W","31°47'33.502"" N",0092,36,14,22,3,2,2,0,0,5,0,2,1,0,1,14,0,0,0,0,0,0,0,1,1,0,10,9,10.69,0,0,0,1,0,36,8,4,0,2,0,0,4,4,020012007,Rural,5.0295,0,1,0,0,0,1,2011,1,1,-116.56071694444444,31.792639444444447
02,Baja California,001,Ensenada,2142,Buena Vista,"116°50'52.336"" W","32°06'07.532"" N",0080,342,165,177,6,8,10,11,19,17,11,24,42,20,22,106,0,0,0,4,6,3,3,20,45,3,8.89,9.22,8.56,1,0,1,105,102,173,130,1,0,31,3,1,41,77,020012142,Rural,52.1855,0,1,0,0,0,1,2011,1,1,-116.8478711111111,32.102092222222225
02,Baja California,001,Ensenada,2151,Punta Piedra,"116°53'01.099"" W","32°04'59.692"" N",0008,30,17,13,0,0,0,0,1,0,0,0,15,7,8,1,0,0,0,3,2,1,1,1,6,0,13.83,14.25,13.31,0,0,0,0,7,23,74,0,0,0,0,0,13,14,020012151,Rural,18.0842,1,1,0,0,0,1,2011,1,1,-116.88363861111112,32.08324777777778
02,Baja California,001,Ensenada,2157,Puerto Salina,"116°52'42.193"" W","32°03'36.327"" N",0000,47,18,29,1,0,0,0,0,0,0,0,26,9,17,1,0,0,0,0,0,0,0,1,11,0,11.74,11.47,11.9,0,0,0,6,9,38,154,0,0,0,0,0,14,18,020012157,Rural,69.6222,1,1,0,0,0,1,2011,1,1,-116.87838694444444,32.060090833333334
02,Baja California,001,Ensenada,2159,Angels [Campo],"116°53'01.587"" W","32°02'49.374"" N",0013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,020012159,Rural,5.3272,1,1,0,0,0,1,2011,1,1,-116.88377416666667,32.04704833333333
02,Baja California,001,Ensenada,2160,Úrsulo Galván,"116°52'32.041"" W","32°02'10.533"" N",0060,99,40,59,1,2,0,3,3,6,1,1,18,6,12,17,0,0,0,3,0,0,0,3,17,0,8.01,8.29,7.81,0,0,0,28,33,66,121,1,5,22,6,0,31,29,020012160,Rural,84.3337,1,1,0,0,0,1,2011,1,1,-116.87556694444444,32.03625916666667
