ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2_F,P_0A2_M,P_3A5_F,P_3A5_M,P_6A11_F,P_6A11_M,P_12A14_F,P_12A14_M,P_60YMAS,P_60YMAS_F,P_60YMAS_M,POB0_14,P3HLINHE,P3HLINHE_F,P3HLINHE_M,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCON_LIMI,PCLIM_PMEN,GRAPROES,GRAPROES_F,GRAPROES_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PHOGJEF_F,PHOGJEF_M,VIVTOT,VPH_PISOTI,VPH_S_ELEC,VPH_AGUAFV,VPH_NODREN,VPH_SNBIEN,VPH_RADIO,VPH_TV,CVEGEO,AMBITO,SUP_HAS,LIT1000,LIT5000,MANGLAR1km,MANGLAR5km,SUP_MAG_HA,CUENTA_ATLAS,ANIO_ATLAS,CUENTA_PPC,CUENTA_UPC,X,Y
02,Baja California,006,San Quintín,0022,Bahía de los Ángeles,"113°33'35.938"" W","28°56'53.141"" N",0011,781,370,411,14,16,26,21,43,41,12,22,74,31,43,195,0,0,0,4,0,0,0,57,167,6,8.39,8.64,8.16,7,0,7,348,201,580,421,4,8,46,4,6,112,236,020060022,Rural,218.356,1,1,1,1,0,0,NA,0,0,-113.55998277777778,28.948094722222223
03,Baja California Sur,001,Comondú,0003,Puerto Adolfo López Mateos,"112°06'38.209"" W","25°11'34.462"" N",0002,2227,1106,1121,51,44,47,56,115,124,59,46,336,168,168,542,0,0,0,0,10,7,3,110,274,23,9.09,9.16,9.01,15,0,15,187,571,1656,825,5,7,4,15,7,208,632,030010003,Rural,157.4545,1,1,1,1,0.03488,1,2011,0,1,-112.1106136111111,25.19290611111111
03,Baja California Sur,001,Comondú,0027,Puerto Magdalena,"112°08'23.545"" W","24°38'04.026"" N",0003,55,20,35,1,1,2,1,0,0,0,0,6,2,4,5,0,0,0,0,0,0,0,8,8,3,7.6,7.94,7.42,0,0,0,8,5,50,59,1,1,14,0,2,7,19,030010027,Rural,10.4374,1,1,0,1,0,1,2011,0,1,-112.13987361111111,24.634451666666667
03,Baja California Sur,001,Comondú,0241,Puerto Alcatraz,"111°50'47.485"" W","24°30'16.928"" N",0004,154,78,76,7,5,3,2,7,4,2,1,28,14,14,31,0,0,0,0,0,0,0,11,15,3,8.33,8.59,8.09,0,0,0,28,29,125,84,1,0,32,3,2,21,50,030010241,Rural,8.6492,1,1,0,1,0,1,2011,0,1,-111.84652361111111,24.50470222222222
03,Baja California Sur,001,Comondú,0242,Puerto Cortés,"111°49'17.909"" W","24°28'40.303"" N",0025,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,030010242,Rural,4.1602,1,1,0,1,0,1,2011,0,1,-111.82164138888888,24.47786194444444
03,Baja California Sur,001,Comondú,0280,Puerto San Carlos,"112°06'29.023"" W","24°47'23.084"" N",0003,5742,2780,2962,133,141,155,150,317,300,157,162,594,296,298,1515,0,0,0,37,23,9,14,393,733,88,8.83,9.04,8.64,47,8,39,726,1754,3968,2069,70,17,27,22,14,613,1529,030010280,Urbana,276.6032,1,1,1,1,22.72592,1,2011,0,1,-112.10806194444444,24.78974555555556
03,Baja California Sur,001,Comondú,2821,El Ranchito,"112°05'25.962"" W","24°49'49.289"" N",0001,149,67,82,7,2,2,7,11,16,7,1,8,2,6,53,0,0,0,60,1,0,1,6,5,2,6.49,6.13,6.75,9,1,8,5,16,133,63,22,23,9,11,2,10,10,030012821,Rural,7.7846,1,1,1,1,0,1,2011,0,1,-112.09054499999999,24.830358055555557
03,Baja California Sur,002,Mulegé,0041,El Coyote,"111°54'34.986"" W","26°43'22.867"" N",0006,8,3,5,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,0,0,2,3,0,9.38,11,8.4,0,0,0,1,4,4,50,0,1,1,0,0,2,3,030020041,Rural,5.6628,1,1,0,1,0,1,2011,0,0,-111.90971833333334,26.723018611111108
03,Baja California Sur,002,Mulegé,0049,El Dátil,"112°54'53.977"" W","26°31'58.322"" N",0002,311,135,176,3,13,10,12,18,16,10,12,27,12,15,94,0,0,0,7,0,0,0,6,31,1,7.68,8.15,7.33,0,0,0,30,18,293,105,17,5,63,43,4,31,49,030020049,Rural,10.4938,1,1,1,1,5e-5,1,2011,0,0,-112.91499361111111,26.532867222222222
03,Baja California Sur,002,Mulegé,0056,Estero de la Bocana,"113°42'42.926"" W","26°47'52.625"" N",0004,1013,489,524,18,18,28,29,57,42,22,31,130,68,62,245,0,0,0,12,6,3,3,53,74,21,8.72,8.8,8.66,3,0,3,136,148,865,393,3,5,7,13,2,124,306,030020056,Rural,77.3316,1,1,0,1,0,1,2011,0,0,-113.71192388888889,26.79795138888889
