MUN_OFICIA,CLA_CICTRO,INESTAB_su
"09012",Muy bajo,0.000000
"09013",Muy bajo,0.000000
"09008",Muy bajo,0.000000
"09002",Muy bajo,0.000000
"09014",Muy bajo,0.000000
"09015",Muy bajo,0.000000
"09010",Muy bajo,0.000000
"09005",Muy bajo,0.000000
"09004",Muy bajo,0.000000
"09016",Muy bajo,0.000000
"09006",Muy bajo,0.000000
"09003",Muy bajo,0.000000
"09017",Muy bajo,0.000000
"09011",Muy bajo,0.000000
"09007",Muy bajo,0.000000
"09009",Muy bajo,0.000000
"12006",Muy bajo,0.000000
"12017",Muy bajo,0.000000
"12026",Muy bajo,0.000000
"12028",Bajo,0.000000
"12029",Muy bajo,0.000000
"12031",Muy bajo,0.000000
"12032",Muy bajo,0.000000
"12034",Muy bajo,0.000000
"12039",Muy bajo,0.000000
"12040",Muy bajo,0.000000
"12042",Muy bajo,0.000000
"12044",Muy bajo,0.000000
"12051",Bajo,0.000000
"12053",Bajo,0.000000
"12056",Bajo,0.000000
"12058",Muy bajo,0.000000
"12059",Muy bajo,0.000000
"12061",Muy bajo,0.000000
"12074",Muy bajo,0.000000
"12075",Muy bajo,0.000000
"12035",Muy bajo,0.000000
"12021",Bajo,0.000000
"12005",Muy bajo,0.000000
"12008",Muy bajo,0.000000
"12009",Muy bajo,0.000000
"12010",Bajo,0.000000
"12012",Medio,0.000000
"12013",Bajo,0.000000
"12018",Medio,0.000000
"12019",Muy bajo,0.000000
"12020",Bajo,0.000000
"12024",Muy bajo,0.000000
"12025",Medio,0.000000
"12030",Medio,0.000000
"12033",Muy bajo,0.000000
"12036",Muy bajo,0.000000
"12041",Muy bajo,0.000000
"12045",Bajo,0.000000
"12046",Muy bajo,0.000000
"12052",Medio,0.000000
"12063",Bajo,0.000000
"12066",Bajo,0.000000
"12069",Muy bajo,0.000000
"12070",Muy bajo,0.000000
"12071",Muy bajo,0.000000
"12072",Bajo,0.000000
"12076",Bajo,0.000000
"12077",Bajo,0.000000
"12079",Bajo,0.000000
"12080",Bajo,0.000000
"12081",Muy bajo,0.000000
"12023",Bajo,0.000000
"12062",Muy bajo,0.000000
"12065",Muy bajo,0.000000
"12004",Muy bajo,0.000000
"12043",Muy bajo,0.000000
"12078",Muy bajo,0.000000
"12002",Bajo,0.000000
"12048",Medio,0.000000
"12003",Bajo,0.000000
"12007",Muy bajo,0.000000
"12011",Bajo,0.000000
"12014",Muy bajo,0.000000
"12016",Alto,0.000000
"12027",Muy bajo,0.000000
"12054",Bajo,0.000000
"12057",Medio,0.000000
"12064",Muy bajo,0.000000
"12067",Muy bajo,0.000000
"12022",Bajo,0.000000
"12073",Bajo,0.000000
"12068",Alto,0.000000
"12037",Muy bajo,0.000000
"12047",Muy bajo,0.000000
"12049",Muy bajo,0.000000
"12060",Muy bajo,0.000000
"12055",Muy bajo,0.000000
"12015",Muy bajo,0.000000
"12050",Muy bajo,0.000000
"12038",Medio,0.000000
"12001",Bajo,0.000000
"15082",Muy bajo,0.000000
"15104",Muy bajo,0.000000
"15075",Muy bajo,0.000000
"15065",Muy bajo,0.000000
"15044",Muy bajo,0.000000
"15049",Muy bajo,0.000000
"15004",Muy bajo,0.000000
"15088",Muy bajo,0.000000
"15056",Muy bajo,0.000000
"15125",Muy bajo,0.000000
"15124",Muy bajo,0.000000
"15123",Muy bajo,0.000000
"15122",Muy bajo,0.000000
"15121",Muy bajo,0.000000
"15120",Muy bajo,0.000000
"15119",Muy bajo,0.000000
"15118",Muy bajo,0.000000
"15117",Muy bajo,0.000000
"15116",Muy bajo,0.000000
"15115",Muy bajo,0.000000
"15114",Muy bajo,0.000000
"15113",Muy bajo,0.000000
"15112",Muy bajo,0.000000
"15111",Muy bajo,0.000000
"15110",Muy bajo,0.000000
"15109",Muy bajo,0.000000
"15108",Muy bajo,0.000000
"15107",Muy bajo,0.000000
"15106",Muy bajo,0.000000
"15105",Muy bajo,0.000000
"15103",Muy bajo,0.000000
"15102",Muy bajo,0.000000
