MUN_OFICIA,SUP_POT_HA,SUP_T_HAS,REL_POTSUP
"24058",7857.863,82126.715,0.096
"24040",8790.691,184325.601,0.048
"24013",27221.400,242356.839,0.112
"19013",3294.496,426570.528,0.008
"19033",189022.130,250920.725,0.753
"19042",44061.504,134095.337,0.329
"19038",82581.654,186894.040,0.442
"19030",52853.604,56050.709,0.943
"19029",12779.163,12779.163,1.000
"19024",110495.377,130667.298,0.846
"19022",115445.742,247884.346,0.466
"19017",53667.929,706828.179,0.076
"19007",165789.865,268862.870,0.617
"28016",190146.037,213608.855,0.890
"28041",116881.234,146356.508,0.799
"28039",30057.614,307597.792,0.098
"28019",81043.986,256858.274,0.316
"28004",57914.562,58224.181,0.995
"28028",7520.128,30302.332,0.248
"28029",144632.557,147714.440,0.979
"28020",36422.664,36422.664,1.000
"28017",266332.372,266332.372,1.000
"28026",59282.465,88537.702,0.670
"28034",234.803,291508.526,0.001
"28042",97401.836,128824.806,0.756
"28006",8219.873,145013.888,0.057
"28031",43342.497,47999.600,0.903
"28043",26087.355,87073.132,0.300
"28011",73030.763,73030.763,1.000
"28021",64716.073,163721.568,0.395
"28013",36599.549,120934.779,0.303
"09012",547.170,31450.162,0.017
"09009",787.431,29824.711,0.026
"12017",11348.147,44566.811,0.255
"12026",4261.678,37301.878,0.114
"12031",8060.685,26005.656,0.310
"12032",52433.599,172673.753,0.304
"12034",93614.341,132759.870,0.705
"12058",66509.178,100941.038,0.659
"12059",16710.240,85290.422,0.196
"12035",32838.673,57042.979,0.576
"12008",39021.228,55799.130,0.699
"12019",3475.377,73248.825,0.047
"12003",106366.918,199447.086,0.533
"12016",150861.266,264512.737,0.570
"12027",52594.879,133563.512,0.394
"12054",81167.619,237092.204,0.342
"12022",142965.769,335748.669,0.426
"12073",1503.972,214486.793,0.007
"12068",111558.016,176021.458,0.634
"12037",21210.064,21210.064,1.000
"12047",29423.289,29423.289,1.000
"12049",16228.147,16228.147,1.000
"12060",21780.213,21780.213,1.000
"12055",65068.841,65068.841,1.000
"12015",30397.942,30397.942,1.000
"12038",43843.451,146782.373,0.299
"15082",14044.231,66840.858,0.210
"15049",4605.789,4605.789,1.000
"15004",17095.580,17095.580,1.000
"15088",16464.440,16464.440,1.000
"15124",14415.684,48810.307,0.295
"15123",32601.030,70291.671,0.464
"15119",20235.301,20235.301,1.000
"15118",22475.485,30998.412,0.725
"15117",29212.353,29212.353,1.000
"15116",6669.389,6669.389,1.000
"15114",23316.756,42479.534,0.549
"15113",22931.987,22931.987,1.000
"15111",30954.783,30954.783,1.000
"15110",40083.909,40083.909,1.000
"15107",9015.098,9015.098,1.000
"15106",9480.766,42807.967,0.221
"15105",388.842,78858.929,0.005
"15101",2015.562,13177.830,0.153
"15098",2120.962,2473.029,0.858
"15097",14870.870,14921.875,0.997
"15094",163.189,4312.444,0.038
"15090",20852.003,20852.003,1.000
