Entidad,Clave_Entidad,Municipio,Clave_Municipio, Cuenta_Atlas ,Anio_Atlas,Cuenta_PPC,Cuenta_UnidadPC
Aguascalientes ,01,Aguascalientes,001,1,2006,1,1
Aguascalientes ,01,El Llano ,010,1,2012,0,1
Aguascalientes ,01,Rincon de Romos ,007,1,2012,0,0
Aguascalientes ,01,San Francisco de los Romo ,011,1,2012,0,1
Baja California Sur  ,03,Comondú,001,1,2011,0,1
Baja California Sur  ,03,La Paz ,003,1,2012,1,1
Baja California Sur  ,03,Los Cabos ,008,1,2022,1,1
Baja California Sur  ,03,Mulegé,002,1,2011,0,0
Coahuila de Zaragoza,05, Matamoros,017,1,2015,1,1
Coahuila de Zaragoza,05, Múzquiz,020,1,2012,1,1
Coahuila de Zaragoza,05,Nadadores,021,1,2012,0,1
Coahuila de Zaragoza,05,Saltillo,030,1,2014,1,1
Coahuila de Zaragoza,05,Torreón ,035,1,2020,1,1
Colima ,06, Armería,001,1,2013,0,1
Colima ,06,Colima,002,1,2014,1,1
Colima ,06,Coquimatlán,004,1,2013,0,1
Colima ,06, Ixtlahuacán,006,1,2015,0,1
Colima ,06,Manzanillo,007,1,2012,1,1
Colima ,06, Minatitlán,008,1,2015,0,1
Colima ,06,Tecomán,009,1,2011,1,1
Colima ,06,Villa de Álvarez,010,1,2015,0,1
Chihuahua,08, Aquiles Serdán,004,1,2015,0,0
Chihuahua,08,Camargo,011,1,2015,0,1
Chihuahua,08,Chihuahua,019,1,2014,1,1
Chihuahua,08, Cuauhtémoc,017,1,2014,1,1
Chihuahua,08, Delicias,021,1,2014,0,0
Chihuahua,08,Hidalgo del Parral,032,1,2011,0,1
Chihuahua,08,Juárez,037,1,2010,1,1
Chihuahua,08, Ojinaga,052,1,2011,0,1
Ciudad de Mexico ,09,Álvaro Obregón,010,1,2011,1,1
Ciudad de Mexico ,09,Azcapotzalco,002,1,2017,1,1
Ciudad de Mexico ,09,Benito Juárez,014,1,2012,1,1
Ciudad de Mexico ,09,Coyoacán,003,1,2015,1,1
Ciudad de Mexico ,09, Cuajimalpa de Morelos,004,1,2013,1,1
Ciudad de Mexico ,09, Gustavo A. Madero,005,1,2014,1,1
Ciudad de Mexico ,09, Iztacalco,006,1,2016,1,1
Ciudad de Mexico ,09, Iztapalapa,007,1,2019,1,1
Ciudad de Mexico ,09, La Magdalena Contreras,008,1,2011,1,1
Ciudad de Mexico ,09,Miguel Hidalgo,016,1,2020,1,1
Ciudad de Mexico ,09, Milpa Alta,009,1,2018,1,1
Ciudad de Mexico ,09,Tlalpan,012,1,2011,1,1
Ciudad de Mexico ,09,Xochimilco,013,1,2015,1,1
Durango,10,Durango,005,1,2012,1,1
Durango,10,Gómez Palacio,007,1,2014,1,1
Durango,10,Guadalupe Victoria,008,1,2014,1,1
Durango,10,Lerdo,012,1,2014,1,1
Guanajuato,11,Celaya,007,1,2020,1,1
Guanajuato,11, Irapuato,017,1,2013,1,1
Guanajuato,11,León,020,1,2006,1,1
Guanajuato,11,Moroleón,020,1,2021,0,1
Guanajuato,11, San Miguel de Allende,003,1,2013,1,1
Guerrero,12,Acapulco de Juárez,001,1,2021,1,1
Guerrero,12,Chilpancingo de los Bravo,029,1,2016,1,1
Guerrero,12,Zihuatanejo de Azueta,038,1,2011,1,1
Hidalgo,13,Actopan,003,1,2013,0,1
Hidalgo,13,Almoloya,007,1,2015,1,1
Hidalgo,13,Atitalaquia,010,1,2020,1,1
Hidalgo,13, Atotonilco el Grande,012,1,2015,0,1
Hidalgo,13,Chilcuautla,019,1,2016,0,1
Hidalgo,13,Cuautepec de Hinojosa,016,1,2012,0,0
Hidalgo,13, El Arenal,009,1,2020,0,0
