CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO,AMBITO,SUP_MAG_HA
"120210035","12","021","0035",Los Mogotes,Rural,0.01872
"120210042","12","021","0042",El Carrizal,Rural,3.81068
"120210041","12","021","0041",Playa Azul,Rural,0.10620
"120570087","12","057","0087",Los Tarros,Rural,0.00124
"120380001","12","038","0001",Zihuatanejo,Urbana,1.35864
"120380124","12","038","0124",Ixtapa Zihuatanejo,Urbana,0.36253
"160520001","16","052","0001",Ciudad LÃ¡zaro CÃ¡rdenas,Urbana,136.78580
"120680063","12","068","0063",Petacalco,Urbana,6.47028
"160520033","16","052","0033",Las Calabazas,Rural,0.00271
"160140013","16","014","0013",Boca de Apiza,Rural,0.85349
"060010032","06","001","0032",El ParaÃ­so [Balneario],Rural,0.27833
"060070001","06","007","0001",Manzanillo,Urbana,91.17684
"140220006","14","022","0006",Barra de Navidad,Urbana,0.17942
"140430062","14","043","0062",La Manzanilla,Rural,0.50495
"140430146","14","043","0146",PÃ©rula,Rural,1.22146
"140670001","14","067","0001",Puerto Vallarta,Urbana,123.49223
"180200059","18","020","0059",Nuevo Vallarta,Rural,0.27028
"180200024","18","020","0024",Flamingos,Rural,30.06716
"180200053","18","020","0053",Mezcales,Urbana,0.05879
"180040128","18","004","0128",La PeÃ±ita de Jaltemba,Urbana,2.54199
"180120043","18","012","0043",Santa Cruz de Miramar,Rural,0.11089
"180120001","18","012","0001",San Blas,Urbana,2.77126
"180150007","18","015","0007",Boca de CamichÃ­n,Rural,0.93499
"070870170","07","087","0170",El Gancho,Rural,0.18714
"070870171","07","087","0171",Tierra y Libertad,Rural,2.17447
"070870004","07","087","0004",Brisas del Mar,Rural,3.50614
"070870133","07","087","0133",El SajÃ­o,Rural,0.01147
"070890871","07","089","0871",Playa Linda,Rural,0.01722
"070890148","07","089","0148",Puerto Madero (San Benito),Urbana,11.24090
"070540005","07","054","0005",San JosÃ© el Hueyate (Barra de San JosÃ©),Rural,26.57794
"070540046","07","054","0046",Emiliano Zapata I,Rural,0.29895
"070540133","07","054","0133",Badenia,Rural,4.42586
"070400126","07","040","0126",AztlÃ¡n,Rural,0.34206
"070400130","07","040","0130",Las Brisas del Huayate,Rural,0.00045
"070030140","07","003","0140",La Lupe,Rural,2.56618
"070030006","07","003","0006",Barra Zacapulco,Rural,3.26721
"070510045","07","051","0045",Juan Escutia (Las Salinas),Rural,1.14325
"070511042","07","051","1042",UniÃ³n Santa Isabel,Rural,1.07582
"070030093","07","003","0093",Las Lauras,Rural,1.06529
"070030029","07","003","0029",La Palma,Rural,0.71490
"070510033","07","051","0033",Pampa Honda,Rural,0.44524
"070510293","07","051","0293",Barrita de PajÃ³n,Rural,0.69814
"070690022","07","069","0022",Isla Morelos,Rural,0.47577
"070690012","07","069","0012",Las Cuaches,Rural,0.51931
"070690059","07","069","0059",La Esperanza (El Zapotal),Rural,0.23506
"070690032","07","069","0032",El Palmarcito,Rural,12.36106
"204130050","20","413","0050",Huatunalco (Barra de Huatunalco),Rural,0.00011
"204010071","20","401","0071",Laguna Encantada,Rural,4.28791
"070690527","07","069","0527",El FortÃ­n,Rural,0.51101
"070690529","07","069","0529",La Conquista,Rural,0.37270
"070691848","07","069","1848",El Diamante,Rural,0.36975
"203070042","20","307","0042",Playa Grande,Rural,1.24801
"070970032","07","097","0032",El Manguito,Rural,0.75502
"070690023","07","069","0023",Tamaulipas (JoaquÃ­n Amaro),Rural,1.09367
"203340301","20","334","0301",Chacahua la GrÃºa,Rural,0.02946
"203340059","20","334","0059",El Azufre,Rural,0.29766
"070970033","07","097","0033",Manuel Ãvila Camacho (Ponte Duro),Rural,0.00571
"203340016","20","334","0016",Chacahua,Rural,0.12952
"204670023","20","467","0023",La Tuza,Rural,0.48368
"205150005","20","515","0005",ConcepciÃ³n Bamba,Rural,1.96526
"070970006","07","097","0006",Cabeza de Toro,Urbana,1.01057
"070970072","07","097","0072",Miguel Hidalgo NÃºmero Dos (Veinte de Noviembre),Rural,0.35144
"070970164","07","097","0164",San LuqueÃ±o,Rural,0.77254
"204820010","20","482","0010",Corralero,Rural,0.97773
"203270023","20","327","0023",Trejo,Rural,0.20318
"203270050","20","327","0050",PesquerÃ­a Rancho Salinas,Rural,0.01301
"203270009","20","327","0009",Conchalito,Rural,0.00697
"201410001","20","141","0001",San Francisco del Mar Pueblo Viejo,Rural,4.13436
"201410003","20","141","0003",Puerto Estero,Rural,0.03966
"120770004","12","077","0004",Barra de Tecoanapa,Rural,0.12141
"120770023","12","077","0023",La Bocana,Rural,0.16949
"120010085","12","001","0085",Barra Vieja,Rural,3.27752
"120010001","12","001","0001",Acapulco de JuÃ¡rez,Urbana,169.47117
"120010297","12","001","0297",El Arenal,Rural,0.17597
"120010158","12","001","0158",San Pedro las Playas,Urbana,2.40155
"300480011","30","048","0011",Estero del Pantano,Urbana,0.66406
"300390001","30","039","0001",Coatzacoalcos,Urbana,13.86168
"300390021","30","039","0021",Allende,Urbana,17.62539
"270080098","27","008","0098",La Venta,Urbana,0.27715
"302040001","30","204","0001",Agua Dulce,Urbana,7.55883
"302040017","30","204","0017",El Muelle (GavilÃ¡n Norte),Urbana,2.17143
"301220008","30","122","0008",Jicacal,Rural,1.05478
"270020031","27","002","0031",CuauhtemoczÃ­n,Rural,0.07534
"302040028","30","204","0028",TonalÃ¡,Rural,1.19010
"270020118","27","002","0118",El BarÃ­ 1ra. SecciÃ³n,Rural,0.10037
"270020041","27","002","0041",El Mingo,Rural,0.40450
"270050037","27","005","0037",JosÃ© MarÃ­a Pino SuÃ¡rez 2da. SecciÃ³n,Rural,6.36303
"270030061","27","003","0061",Vicente Guerrero,Urbana,0.33005
"270030035","27","003","0035",Ignacio Allende,Urbana,6.69241
"270140009","27","014","0009",Las Flores 1ra. SecciÃ³n,Rural,0.01987
"270050016","27","005","0016",Cocohital,Urbana,3.73040
"270140039","27","014","0039",Monte Adentro,Rural,2.04446
"270140001","27","014","0001",ParaÃ­so,Urbana,0.03615
"270140006","27","014","0006",Puerto Ceiba,Urbana,2.11447
"270030015","27","003","0015",CuauhtÃ©moc,Urbana,10.97079
"270140042","27","014","0042",La UniÃ³n 2da. SecciÃ³n,Rural,0.05214
"270030089","27","003","0089",San Juan,Rural,7.90023
"270140002","27","014","0002",Aquiles SerdÃ¡n,Rural,19.31039
"270140013","27","014","0013",JosÃ© MarÃ­a Morelos y PavÃ³n (El Bellote),Rural,3.30184
"270140004","27","014","0004",El Bellote (Miguel de la Madrid),Rural,1.45967
"270140061","27","014","0061",Chiltepec (SecciÃ³n Tanque),Rural,0.00644
"270140028","27","014","0028",Nuevo Torno Largo,Rural,0.02659
"270140054","27","014","0054",Chiltepec (SecciÃ³n PÃ©njamo),Rural,0.18700
"270030001","27","003","0001",Frontera,Urbana,1.56568
"270030284","27","003","0284",Carlos Rovirosa 2da. SecciÃ³n (La CosteÃ±ita),Rural,0.57111
"300110049","30","011","0049",Paso Nacional,Rural,0.03164
"270030188","27","003","0188",El Bosque,Rural,0.45619
"230040111","23","004","0111",Xcalak,Rural,1.67851
"040030101","04","003","0101",San Antonio CÃ¡rdenas,Urbana,0.10451
"040030118","04","003","0118",Nuevo Campechito,Rural,14.49473
"270030053","27","003","0053",Barra de San Pedro,Rural,8.74101
"300110004","30","011","0004",Arbolillo,Rural,0.03559
"040030006","04","003","0006",Atasta,Urbana,20.49357
"040030013","04","003","0013",Puerto Rico,Rural,0.13909
"040030001","04","003","0001",Ciudad del Carmen,Urbana,187.74500
"230040073","23","004","0073",Ramonal,Rural,0.22237
"230040098","23","004","0098",Subteniente LÃ³pez,Rural,5.38621
"230040001","23","004","0001",Chetumal,Urbana,24.39672
"230041987","23","004","1987",Las Palomas,Rural,0.00910
"300110009","30","011","0009",Mandinga y Matoza,Rural,1.14832
