CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO,AMBITO,SUP_HAS
"020060022","02","006","0022",Bahía de los Ángeles,Rural,218.3560
"030010027","03","001","0027",Puerto Magdalena,Rural,10.4374
"030012821","03","001","2821",El Ranchito,Rural,7.7846
"030010242","03","001","0242",Puerto Cortés,Rural,4.1602
"030010241","03","001","0241",Puerto Alcatraz,Rural,8.6492
"030010003","03","001","0003",Puerto Adolfo López Mateos,Rural,157.4545
"030010280","03","001","0280",Puerto San Carlos,Urbana,276.6032
"030020116","03","002","0116",Punta Abreojos,Rural,86.1129
"030020041","03","002","0041",El Coyote,Rural,5.6628
"030020056","03","002","0056",Estero de la Bocana,Rural,77.3316
"030020715","03","002","0715",Posada Concepción,Rural,1.8874
"030020049","03","002","0049",El Dátil,Rural,10.4938
"030020097","03","002","0097",Heroica Mulegé,Urbana,512.6412
"030021374","03","002","1374",Ejido Luis Echeverría,Rural,40.3679
"030032846","03","003","2846",Maravia,Rural,18.6283
"030031561","03","003","1561",Punta Prieta,Rural,34.7055
"030031534","03","003","1534",Puerto de Pichilingue,Rural,36.4260
"030031450","03","003","1450",El Comitán,Rural,110.8217
"030030001","03","003","0001",La Paz,Urbana,7944.0420
"030030092","03","003","0092",El Centenario,Urbana,810.7101
"030030224","03","003","0224",Puerto Chale,Rural,21.5857
"030030108","03","003","0108",Chametla,Urbana,291.7012
"040010002","04","001","0002",Isla Arena,Rural,30.1813
"040020086","04","002","0086",Imí,Rural,733.6356
"040020101","04","002","0101",San Francisco Kobén,Rural,77.3510
"040020081","04","002","0081",Hampolol,Rural,96.8627
"040020075","04","002","0075",Chemblás,Rural,29.8462
"040020001","04","002","0001",San Francisco de Campeche,Urbana,5247.8130
"040020070","04","002","0070",Bethania,Rural,66.0822
"040040016","04","004","0016",La Joya,Rural,44.4472
"040040052","04","004","0052",El Zapote,Rural,21.8793
"040040521","04","004","0521",Villamar,Rural,34.9381
"040042119","04","004","2119",Campeche Playa Esmeralda Resort,Rural,30.3447
"040042148","04","004","2148",Villa de las Flores,Rural,9.4365
"040040017","04","004","0017",Ciudad del Sol,Rural,14.4672
"040042356","04","004","2356",Tres de Mayo,Rural,6.0785
"040040082","04","004","0082",Ulumal,Rural,73.9349
"040041787","04","004","1787",Punta Xen,Rural,20.7050
"040040233","04","004","0233",El Porvenir,Rural,36.0256
"040040001","04","004","0001",Champotón,Urbana,1051.7927
"040040043","04","004","0043",Vicente Guerrero,Rural,50.8821
"040040019","04","004","0019",Moquel,Rural,52.4508
"040080016","04","008","0016",Xkuncheil,Rural,20.8754
"040120016","04","012","0016",Haltunchén,Rural,3.4197
"040120001","04","012","0001",Seybaplaya,Urbana,276.2577
"040120055","04","012","0055",Villa Madero,Urbana,158.1455
"040030013","04","003","0013",Puerto Rico,Rural,30.0291
"040033402","04","003","3402",Mamantel Pueblo (Mamantel Viejo),Rural,1.8436
"040033453","04","003","3453",Pital Viejo,Rural,16.3825
"040032248","04","003","2248",Generalísimo Morelos,Rural,14.8134
"040032249","04","003","2249",Valle de Solidaridad,Rural,3.8256
"040032250","04","003","2250",Murallas de Campeche,Rural,19.3105
"040030733","04","003","0733",Bella Palizada,Rural,5.9415
"040030031","04","003","0031",Santa Rita,Rural,18.5293
"040033354","04","003","3354",Ignacio Zaragoza,Rural,42.0825
"040034564","04","003","4564",La Antorcha,Rural,11.0969
"040031539","04","003","1539",Santa Cruz,Rural,15.4370
"040030262","04","003","0262",Colonia Emiliano Zapata,Rural,86.9165
"040030001","04","003","0001",Ciudad del Carmen,Urbana,3562.4540
"040030005","04","003","0005",Nuevo Progreso,Urbana,419.7881
"040030006","04","003","0006",Atasta,Urbana,282.5076
"040030101","04","003","0101",San Antonio Cárdenas,Urbana,350.3522
"040030199","04","003","0199",Isla Aguada,Urbana,313.7812
"040030614","04","003","0614",Sabancuy,Urbana,260.9691
"040030118","04","003","0118",Nuevo Campechito,Rural,31.3289
"040030082","04","003","0082",Calax,Rural,19.6791
"060010032","06","001","0032",El Paraíso [Balneario],Rural,18.2239
"060010042","06","001","0042",Los Reyes (Zorrillos),Rural,33.1573
"060010009","06","001","0009",Cuyutlán,Rural,112.2875
"060070083","06","007","0083",Santa Rita,Rural,36.6559
"060070129","06","007","0129",Francisco Villa,Rural,45.9862
"060070049","06","007","0049",Las Juntas (La Floreña),Rural,31.3877
"060070130","06","007","0130",Nuevo Cuyutlán,Rural,29.3647
"060070044","06","007","0044",Jalipa,Urbana,100.7606
"060070077","06","007","0077",San Buenaventura,Rural,24.4444
"060070391","06","007","0391",El Garcero,Rural,29.3193
"060070696","06","007","0696",El Rebalse,Rural,35.1773
"060070020","06","007","0020",La Central,Rural,44.2664
"060070394","06","007","0394",La Cima del Progreso,Rural,6.7641
"060070618","06","007","0618",Colonia la Lupita,Rural,24.2247
"060070033","06","007","0033",Emiliano Zapata,Rural,17.0921
"060070094","06","007","0094",Venustiano Carranza (Cualata),Rural,42.9972
"060070028","06","007","0028",El Chavarín,Rural,28.5181
"060070001","06","007","0001",Manzanillo,Urbana,4805.0563
"060070021","06","007","0021",El Colomo,Urbana,325.4072
"060070024","06","007","0024",La Culebra (Colimilla),Rural,9.9666
"060070058","06","007","0058",El Naranjo,Rural,51.1502
"060091017","06","009","1017",Arturo Noriega Pizano,Rural,18.6617
"060090025","06","009","0025",Cerro de Ortega,Urbana,226.7213
"070030006","07","003","0006",Barra Zacapulco,Rural,23.7884
"070030061","07","003","0061",Las Murallas,Rural,25.8890
"070030081","07","003","0081",Absalón Castellanos Domínguez,Rural,23.9098
"070030093","07","003","0093",Las Lauras,Rural,27.4368
"070030096","07","003","0096",Las Mercedes,Rural,52.7107
"070030103","07","003","0103",Quince de Abril,Rural,18.8035
"070030139","07","003","0139",Las Morenas,Rural,10.7305
"070030140","07","003","0140",La Lupe,Rural,10.8399
"070030194","07","003","0194",Río Negro,Rural,281.1954
"070030376","07","003","0376",Los Cerritos,Rural,60.9900
"070030434","07","003","0434",Benito Juárez,Rural,13.6355
"070030494","07","003","0494",Zacatonal,Rural,17.0037
"070030461","07","003","0461",Quince de Junio Dos,Rural,5.1822
"070030350","07","003","0350",Emiliano Zapata Salazar,Rural,9.7006
"070030005","07","003","0005",El Arenal,Rural,42.7176
"070030029","07","003","0029",La Palma,Rural,21.3467
"070090161","07","009","0161",Villa del Mar,Rural,52.5411
"070090169","07","009","0169",El Arenal,Rural,15.5091
"070090093","07","009","0093",Punta Flor,Rural,35.8222
"070090058","07","009","0058",La Línea,Rural,37.7069
"070090046","07","009","0046",La Gloria,Rural,44.7532
"070090041","07","009","0041",Emiliano Zapata,Urbana,210.6390
"070400126","07","040","0126",Aztlán,Rural,23.0014
"070400130","07","040","0130",Las Brisas del Huayate,Rural,22.5242
"070510033","07","051","0033",Pampa Honda,Rural,9.8772
"070510035","07","051","0035",La Permuta,Rural,1563.3412
"070510457","07","051","0457",Benito Juárez,Rural,26.9563
"070510882","07","051","0882",Francisco I. Madero,Rural,30.2669
"070510045","07","051","0045",Juan Escutia (Las Salinas),Rural,8.8342
"070511042","07","051","1042",Unión Santa Isabel,Rural,4.6777
"070510543","07","051","0543",Emiliano Zapata,Rural,24.2642
"070510043","07","051","0043",Roberto Barrios,Rural,15.5538
"070510227","07","051","0227",El Carmen,Rural,4.3903
"070510313","07","051","0313",Ibarra,Rural,32.7205
"070510293","07","051","0293",Barrita de Pajón,Rural,21.0847
"070510278","07","051","0278",10 de Abril,Rural,6.6139
"070510454","07","051","0454",Santa Isabel,Rural,5.2140
"070511175","07","051","1175",El Higuero,Rural,3.5597
"070510341","07","051","0341",Narciso Mendoza,Rural,22.1926
"070540005","07","054","0005",San José el Hueyate (Barra de San José),Rural,101.0076
"070540026","07","054","0026",Paxtal,Rural,25.2449
"070540042","07","054","0042",La Victoria,Rural,43.3557
"070540046","07","054","0046",Emiliano Zapata I,Rural,15.6870
"070540083","07","054","0083",Adolfo Ruiz Cortines,Rural,48.6941
"070540088","07","054","0088",Barra de San Simón,Rural,1.4660
"070540134","07","054","0134",Vicente Guerrero,Rural,8.0289
"070540176","07","054","0176",Barra de San Simón,Rural,13.8339
"070540178","07","054","0178",Lázaro Cárdenas (Los Cuates),Rural,14.9904
"070540220","07","054","0220",Genaro Vázquez Rojas,Rural,2.2683
"070540254","07","054","0254",19 de Abril,Rural,6.1412
"070540133","07","054","0133",Badenia,Rural,26.0797
"070540018","07","054","0018",Efraín A. Gutiérrez,Rural,46.7973
"070540040","07","054","0040",El Triunfo I (Santa Cruz),Rural,24.8610
"070690003","07","069","0003",Las Brisas,Rural,121.3559
"070690004","07","069","0004",Buenavista,Rural,37.8601
"070690012","07","069","0012",Las Cuaches,Rural,18.8517
"070690023","07","069","0023",Tamaulipas (Joaquín Amaro),Rural,39.0347
"070690025","07","069","0025",Los Limones,Rural,8.7725
"070690032","07","069","0032",El Palmarcito,Rural,59.1606
"070690040","07","069","0040",Salto de Agua,Rural,30.9869
"070690053","07","069","0053",Topón,Rural,30.2941
"070690054","07","069","0054",Unión Carrizal,Rural,4.3255
"070690149","07","069","0149",Chocohuital,Rural,17.4015
"070690160","07","069","0160",Tutuán,Rural,21.7791
"070690186","07","069","0186",Benito Juárez,Rural,16.2133
"070690187","07","069","0187",Gustavo López Gutiérrez,Rural,29.2390
"070690510","07","069","0510",Lázaro Cárdenas del Río (Cuatro Vientos),Rural,26.8565
"070690527","07","069","0527",El Fortín,Rural,30.7640
"070690529","07","069","0529",La Conquista,Rural,21.2579
"070691641","07","069","1641",Isla San José,Rural,12.8933
"070691848","07","069","1848",El Diamante,Rural,8.0932
