CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO,AMBITO,SUP_HAS
"020010124","02","001","0124",Isla de Cedros,Rural,234.8115
"020011297","02","001","1297",Colonia Costa Azul,Rural,13.1351
"020013708","02","001","3708",Colonia Santa Isabel (CaÃ±Ã³n San Carlos),Rural,16.8060
"020013828","02","001","3828",Ejido Delicias,Rural,35.1364
"020014444","02","001","4444",El Morro,Rural,118.5772
"020014523","02","001","4523",II SecciÃ³n Ejido Esteban CantÃº,Rural,14.0352
"020014634","02","001","4634",El Salitral,Rural,11.6024
"020015155","02","001","5155",Coronel Esteban CantÃº [Tercera SecciÃ³n],Rural,10.4128
"020015170","02","001","5170",Villa del Mar [Colonia],Rural,13.1373
"020011309","02","001","1309",Cuatro Milpas,Rural,45.8463
"020014638","02","001","4638",Brisas del Mar [Colonia],Rural,5.2172
"020015168","02","001","5168",San Miguel,Rural,65.7024
"020012487","02","001","2487",Ejido Ley Federal de Reforma Agraria (El Tigre),Rural,11.8011
"020015287","02","001","5287",Arce [Colonia],Rural,10.6412
"020011957","02","001","1957",El Vergel [Campo],Rural,19.8637
"020014925","02","001","4925",Balcones CÃ­bolas del Mar,Rural,10.1930
"020014973","02","001","4973",Brechas el Mirador,Rural,20.5541
"020015037","02","001","5037",Colinas del Pedregal,Rural,17.9576
"020013760","02","001","3760",Parcela NÃºmero Ciento Cinco (Ejido Nacionalista),Rural,19.0508
"020013283","02","001","3283",Baja Beach and Tennis Club,Rural,32.4846
"020013174","02","001","3174",Puerto Escondido,Rural,16.9949
"020013173","02","001","3173",Lomas del Mar,Rural,8.1054
"020011115","02","001","1115",Aguacaliente,Rural,8.2553
"020013171","02","001","3171",Rancho Packard,Rural,21.6694
"020010329","02","001","0329",La Bufadora,Rural,52.4412
"020010736","02","001","0736",Puerto San Isidro,Rural,40.2905
"020012221","02","001","2221",Playa Dorada [Campo],Rural,53.7811
"020010677","02","001","0677",El Ramajal,Rural,31.7029
"020015460","02","001","5460",Colonia Bienestar,Rural,3.8785
"020013744","02","001","3744",Colonia Benito JuÃ¡rez,Rural,4.2022
"020013783","02","001","3783",Parcela NÃºmero Ciento Treinta y Nueve (Ejido Nacionalista),Rural,11.9553
"020015559","02","001","5559",Colonia los Encinos [Hacienda],Rural,2.9285
"020010001","02","001","0001",Ensenada,Urbana,7917.3433
"020010139","02","001","0139",Rodolfo SÃ¡nchez Taboada (Maneadero),Urbana,938.0133
"020010247","02","001","0247",El Sauzal de RodrÃ­guez,Urbana,706.4035
"020011812","02","001","1812",San Miguel (CÃ­bolas de Mar),Rural,37.7450
"020012160","02","001","2160",Ãšrsulo GalvÃ¡n,Rural,84.3337
"020011444","02","001","1444",La Jolla [Campo TurÃ­stico],Rural,43.0991
"020010184","02","001","0184",Coronel Esteban CantÃº,Rural,37.1875
"020010151","02","001","0151",La MisiÃ³n,Rural,77.2332
"020012691","02","001","2691",Baja Mar San Diego,Rural,83.4276
"020012007","02","001","2007",Lomas del EscorpiÃ³n,Rural,5.0295
"020012157","02","001","2157",Puerto Salina,Rural,69.6222
"020012151","02","001","2151",Punta Piedra,Rural,18.0842
"020012502","02","001","2502",Villas de San Miguel,Rural,24.2157
"020013805","02","001","3805",Santa Juquila [Colonia],Rural,15.5545
"020012159","02","001","2159",Angels [Campo],Rural,5.3272
"020013344","02","001","3344",La MisiÃ³n [Campo TurÃ­stico],Rural,18.7516
