CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO,AMBITO,SUP_HAS
"020060022","02","006","0022",Bahía de los Ángeles,Rural,218.3560
"030012821","03","001","2821",El Ranchito,Rural,7.7846
"030010003","03","001","0003",Puerto Adolfo López Mateos,Rural,157.4545
"030010280","03","001","0280",Puerto San Carlos,Urbana,276.6032
"030020715","03","002","0715",Posada Concepción,Rural,1.8874
"030020049","03","002","0049",El Dátil,Rural,10.4938
"030020097","03","002","0097",Heroica Mulegé,Urbana,512.6412
"030031561","03","003","1561",Punta Prieta,Rural,34.7055
"030031534","03","003","1534",Puerto de Pichilingue,Rural,36.4260
"030031450","03","003","1450",El Comitán,Rural,110.8217
"030030001","03","003","0001",La Paz,Urbana,7944.0420
"030030092","03","003","0092",El Centenario,Urbana,810.7101
"030030224","03","003","0224",Puerto Chale,Rural,21.5857
"030030108","03","003","0108",Chametla,Urbana,291.7012
"040010002","04","001","0002",Isla Arena,Rural,30.1813
"040020086","04","002","0086",Imí,Rural,733.6356
"040020001","04","002","0001",San Francisco de Campeche,Urbana,5247.8130
"040040521","04","004","0521",Villamar,Rural,34.9381
"040042119","04","004","2119",Campeche Playa Esmeralda Resort,Rural,30.3447
"040042148","04","004","2148",Villa de las Flores,Rural,9.4365
"040042356","04","004","2356",Tres de Mayo,Rural,6.0785
"040041787","04","004","1787",Punta Xen,Rural,20.7050
"040040001","04","004","0001",Champotón,Urbana,1051.7927
"040040019","04","004","0019",Moquel,Rural,52.4508
"040120001","04","012","0001",Seybaplaya,Urbana,276.2577
"040030013","04","003","0013",Puerto Rico,Rural,30.0291
"040030733","04","003","0733",Bella Palizada,Rural,5.9415
"040030031","04","003","0031",Santa Rita,Rural,18.5293
"040033354","04","003","3354",Ignacio Zaragoza,Rural,42.0825
"040034564","04","003","4564",La Antorcha,Rural,11.0969
"040031539","04","003","1539",Santa Cruz,Rural,15.4370
"040030262","04","003","0262",Colonia Emiliano Zapata,Rural,86.9165
"040030001","04","003","0001",Ciudad del Carmen,Urbana,3562.4540
"040030006","04","003","0006",Atasta,Urbana,282.5076
"040030101","04","003","0101",San Antonio Cárdenas,Urbana,350.3522
"040030199","04","003","0199",Isla Aguada,Urbana,313.7812
"040030614","04","003","0614",Sabancuy,Urbana,260.9691
"040030118","04","003","0118",Nuevo Campechito,Rural,31.3289
"060010032","06","001","0032",El Paraíso [Balneario],Rural,18.2239
"060010042","06","001","0042",Los Reyes (Zorrillos),Rural,33.1573
"060010009","06","001","0009",Cuyutlán,Rural,112.2875
"060070077","06","007","0077",San Buenaventura,Rural,24.4444
"060070696","06","007","0696",El Rebalse,Rural,35.1773
"060070618","06","007","0618",Colonia la Lupita,Rural,24.2247
"060070001","06","007","0001",Manzanillo,Urbana,4805.0563
"060070021","06","007","0021",El Colomo,Urbana,325.4072
"060070024","06","007","0024",La Culebra (Colimilla),Rural,9.9666
"060070058","06","007","0058",El Naranjo,Rural,51.1502
"070030006","07","003","0006",Barra Zacapulco,Rural,23.7884
"070030093","07","003","0093",Las Lauras,Rural,27.4368
"070030140","07","003","0140",La Lupe,Rural,10.8399
"070030029","07","003","0029",La Palma,Rural,21.3467
"070090169","07","009","0169",El Arenal,Rural,15.5091
"070090093","07","009","0093",Punta Flor,Rural,35.8222
"070090058","07","009","0058",La Línea,Rural,37.7069
"070090046","07","009","0046",La Gloria,Rural,44.7532
"070400126","07","040","0126",Aztlán,Rural,23.0014
"070400130","07","040","0130",Las Brisas del Huayate,Rural,22.5242
"070510033","07","051","0033",Pampa Honda,Rural,9.8772
