CVEGEO,UE_ALOJAB_TOT,UE_ALOJAB_EMPEST,UE_AGROP_TOT,UE_AGROP_EMPEST
010010001,6265,20124,8,33
010010106,23,54,0,0
010010125,2,4,0,0
010010239,27,62,0,0
010010293,14,28,0,0
010010315,18,36,0,0
010010357,20,40,0,0
010010407,1,2,0,0
010010479,19,42,0,0
010010519,3,10,0,0
010010863,7,14,0,0
010010866,10,20,0,0
010010988,1,2,0,0
010010992,1,2,0,0
010011000,1,51,0,0
010011025,53,136,0,0
010011178,3,6,0,0
010012141,1,2,0,0
010012302,5,57,0,0
010012468,2,4,0,0
010012472,2,13,0,0
010020001,30,64,0,0
010020011,30,72,0,0
010020059,93,248,0,0
010030001,259,727,0,0
010030055,45,103,0,0
010030060,2,4,0,0
010030426,1,11,0,0
010040001,57,138,0,0
010050001,354,803,0,0
010050013,1,2,0,0
010050023,34,120,0,0
010050026,1,31,0,0
010050037,3,6,0,0
010050040,3,6,0,0
010050041,76,202,1,2
010050043,2,4,0,0
010050048,2,4,0,0
010050050,26,77,0,0
010050066,9,18,0,0
010050076,4,8,0,0
010050078,15,30,0,0
010050084,7,18,0,0
010050105,6,12,0,0
010050111,1,2,0,0
010050112,1,2,0,0
010050118,1,2,0,0
010050121,1,6,0,0
010050207,1,2,0,0
010050210,1,6,0,0
010050223,5,14,0,0
010050245,14,41,0,0
010050419,1,2,0,0
010050427,47,131,0,0
010050458,13,35,0,0
010050468,8,65,0,0
010050491,4,8,0,0
010050507,5,23,0,0
010050508,1,2,0,0
010060001,265,687,0,0
010060007,41,100,0,0
010070001,266,624,0,0
010070018,18,36,0,0
010070030,27,58,0,0
010080001,86,246,1,11
010090001,43,106,0,0
010090025,53,118,0,0
010100001,69,158,0,0
010110001,168,457,0,0
010110012,3,6,0,0
010110019,15,30,0,0
010110021,14,32,0,0
010110052,11,26,0,0
010110053,9,22,0,0
010110128,22,48,0,0
010110139,1,2,0,0
010110151,3,6,0,0
020010001,1704,7410,131,1721
020010095,2,4,2,13
020010114,59,148,0,0
020010124,9,18,4,65
020010127,1,101,0,0
020010139,128,361,13,346
020010151,6,16,0,0
020010184,3,6,2,33
020010186,20,44,4,86
020010190,23,50,1,2
020010243,41,99,1,2
020010247,66,333,30,904
020010254,1,101,0,0
020010271,1,6,0,0
020010280,1,11,0,0
020010329,34,84,0,0
020010585,1,51,0,0
020010600,1,11,0,0
020010611,1,6,0,0
020010935,20,44,0,0
020010942,1,2,1,2
020010994,1,2,0,0
020011025,1,2,1,31
020011080,1,11,0,0
020011115,1,2,0,0
020011282,1,2,0,0
020011304,1,2,0,0
020011444,6,30,0,0
020011962,2,8,0,0
020012157,2,12,1,11
020012183,19,42,0,0
020012463,1,11,0,0
020012691,1,6,0,0
020012776,1,2,0,0
020013170,1,6,0,0
020013329,1,2,0,0
020013593,1,2,0,0
020013679,1,31,0,0
020013834,1,11,0,0
020014100,1,31,0,0
020014444,3,6,0,0
020014523,1,2,0,0
020014897,1,2,0,0
020014925,2,13,0,0
020015010,1,6,0,0
020015081,1,2,0,0
020015122,1,2,0,0
020015155,2,8,0,0
020015285,2,57,0,0
020015446,1,251,0,0
020020001,3337,14862,7,31
020020110,37,82,0,0
020020111,70,222,0,0
020020159,44,125,0,0
020020161,1,2,0,0
020020169,2,4,0,0
020020185,151,381,1,2
020020192,20,40,1,2
020020193,1,2,0,0
020020225,16,36,0,0
020020227,6,12,0,0
020020231,58,149,0,0
020020237,25,50,1,51
020020268,15,30,1,2
020020284,196,633,34,963
020020412,2,8,0,0
020020417,1,11,0,0
020020456,42,92,0,0
020020459,11,22,0,0
020020461,41,94,1,11
020021350,4,26,0,0
020021694,1,11,0,0
020023029,2,17,0,0
020023568,1,2,1,11
020024931,1,2,0,0
020024986,1,6,0,0
020024994,1,6,0,0
020025019,2,17,0,0
020030001,355,1348,0,0
020030107,27,114,0,0
020030155,13,26,0,0
020030211,1,11,0,0
020030340,19,38,0,0
020030995,2,282,0,0
020031368,1,2,0,0
020031482,1,11,0,0
020031604,1,2,0,0
020040001,6623,32454,12,50
020040606,2,8,0,0
020040678,1,11,0,0
020040679,2,4,0,0
020041134,1,2,0,0
020041298,4,8,0,0
020041348,1,2,0,0
020041421,2,4,0,0
020041615,11,30,0,0
020041883,26,70,0,0
020041901,1,6,0,0
020050001,647,2917,1,2
020050002,6,34,0,0
020050003,1,11,0,0
020050007,1,11,0,0
020050008,5,48,0,0
020050025,6,12,0,0
020050028,3,6,0,0
020050034,2,4,0,0
020050035,2,4,0,0
020050059,2,53,0,0
020050064,8,16,0,0
020050074,1,2,0,0
020050076,2,4,0,0
020050078,7,14,0,0
020050081,1,2,0,0
020050084,1,2,0,0
020050086,2,62,1,6
020050089,28,80,0,0
020050090,29,277,2,8
020050104,1,6,0,0
020050193,1,2,0,0
020050194,2,4,0,0
020050197,1,2,0,0
020050230,1,2,0,0
020050243,1,2,0,0
020050304,2,8,0,0
020050305,28,111,4,46
020050314,1,11,0,0
020050375,1,2,0,0
020050376,4,8,0,0
020050386,1,2,0,0
020060001,51,220,14,58
020060022,15,51,15,92
020060040,46,134,1,2
020060068,1,31,0,0
020060077,1,2,5,22
020060082,4,8,0,0
020060085,3,6,2,4
020060116,4,8,2,4
020060121,9,18,4,39
020060225,24,69,4,124
020060248,11,22,1,6
020060583,3,6,0,0
020060585,81,190,4,25
020060630,8,16,2,13
020060823,6,12,0,0
020060863,85,216,5,23
030010001,343,911,32,129
030010003,31,62,42,236
030010133,57,122,6,46
030010244,4,8,1,6
030010280,43,103,144,738
030010291,2,4,0,0
030010319,1,2,0,0
030010380,1,2,0,0
030010662,1,2,3,19
030010751,1,2,0,0
030012086,1,2,2,17
030020001,92,248,68,300
030020014,1,2,3,204
030020015,21,46,7,135
030020066,99,292,31,264
030020067,4,8,0,0
030020097,59,150,29,147
030020149,6,25,1,11
030020164,1,2,0,0
030020482,60,145,0,0
030021188,1,2,0,0
030021374,2,4,1,11
030021597,1,11,0,0
030030001,1672,6017,75,940
030030003,100,432,2,62
030030092,39,90,3,10
030030108,32,184,0,0
030030237,1,2,0,0
030030341,1,11,0,0
030030392,48,254,4,16
030030418,3,15,0,0
030030540,1,11,0,0
030030684,38,130,1,11
030030766,1,2,0,0
030030771,4,8,0,0
030030911,5,23,0,0
030030920,14,57,3,15
030031104,1,6,1,2
030031394,1,2,2,8
030031424,3,6,1,2
030031425,2,4,0,0
030031440,1,2,0,0
030031534,7,31,3,48
030031560,1,11,0,0
030031561,2,33,0,0
030031630,21,59,6,30
030031784,5,92,0,0
030032199,1,2,0,0
030032330,1,11,0,0
030032362,1,2,2,37
030032452,1,2,0,0
030032473,1,2,0,0
030032506,2,22,0,0
030032683,3,10,0,0
030032751,1,2,0,0
030032767,1,2,0,0
030032916,3,6,0,0
030032936,2,4,0,0
030033049,1,2,0,0
030033116,1,2,0,0
030033129,1,2,0,0
030033182,1,2,0,0
030033193,1,11,0,0
030080001,847,7717,9,40
030080045,1,11,0,0
030080048,12,61,0,0
030080054,1172,15162,6,43
030080159,8,16,0,0
030080217,7,18,2,22
030080323,1,51,0,0
030080862,1,2,0,0
030081384,1,2,0,0
030081450,1,11,0,0
030090001,158,644,21,196
030090118,4,65,0,0
030090119,1,2,0,0
030090176,1,2,0,0
030090183,1,11,0,0
030090316,1,251,0,0
030090322,7,14,0,0
040010001,183,406,0,0
040010003,9,18,0,0
040010004,56,112,0,0
040010007,78,164,0,0
040010008,35,74,0,0
040010194,5,10,0,0
040020001,1837,6043,181,672
040020068,1,2,0,0
040020077,56,124,0,0
040020086,1,6,0,0
040020087,77,196,40,303
040020465,1,2,0,0
040020708,1,31,0,0
040020826,1,11,0,0
040030001,1476,6656,100,892
040030005,35,70,23,94
040030006,22,52,18,266
040030101,28,60,18,74
040030199,103,226,61,994
040030614,55,123,61,569
040033217,1,2,4,8
040040001,386,973,121,784
040040016,26,56,9,18
040040036,14,28,0,0
040040091,17,34,1,6
040040432,15,30,0,0
040040564,12,24,0,0
040042119,1,251,0,0
040050001,94,242,0,0
040050007,62,132,0,0
040050012,1,2,0,0
040060001,98,228,0,0
040060003,25,50,0,0
040060023,15,30,0,0
040070001,59,126,14,54
040080001,79,170,0,0
040090001,302,765,0,0
040090002,23,46,0,0
040090486,1,6,0,0
040100001,102,225,1,2
040100122,1,2,0,0
040100193,1,11,0,0
040100272,2,4,0,0
040110001,128,313,1,11
040120001,106,241,76,515
040120053,1,31,0,0
040120055,41,124,9,320
050020001,428,1669,4,16
050030001,94,255,0,0
050040001,55,171,1,2
050040920,1,2,0,0
050050001,6,16,0,0
050060001,78,186,0,0
050070001,60,299,2,8
050070068,1,6,0,0
050070124,1,6,0,0
050090001,221,556,0,0
050090025,3,6,0,0
050090028,5,10,1,6
050100001,295,762,0,0
050100005,46,108,0,0
050110001,37,78,0,0
050120001,3,6,0,0
050130001,3,6,0,0
050140001,5,10,0,0
050140020,16,32,0,0
050150001,2,4,1,2
050160001,8,16,0,0
050170001,342,846,1,31
050170012,38,76,0,0
050170017,8,16,0,0
050170025,16,32,0,0
050170122,11,22,0,0
050180001,982,3599,0,0
050190001,30,77,0,0
050200001,160,393,2,4
050200043,13,26,0,0
050200070,38,76,0,0
050200093,35,91,0,0
050201047,1,11,0,0
050210001,14,32,0,0
050210089,1,2,0,0
050220001,70,189,0,0
050220051,10,29,0,0
050230001,11,22,0,0
050230453,8,20,0,0
050240001,194,573,0,0
050240094,1,31,0,0
050250001,687,2670,0,0
050260001,2,4,0,0
050270001,418,1290,1,2
050280001,304,852,0,0
050280003,15,30,0,0
050290001,5,10,0,0
050300001,2935,11575,3,14
050300115,1,2,0,0
050301146,1,6,0,0
050301147,1,2,0,0
050310001,56,133,0,0
050320001,3,6,0,0
050320014,194,510,0,0
050330001,319,781,2,37
050330022,29,58,1,11
050330037,18,40,0,0
050340001,1,2,0,0
050340025,19,76,0,0
050350001,4163,14748,13,123
050350152,10,24,0,0
050350158,2,4,0,0
050350178,33,70,0,0
050350180,10,20,0,0
050360001,26,52,0,0
050370001,19,42,0,0
050380001,48,100,1,2
060010001,220,515,8,56
060010007,28,64,2,37
060010009,55,143,0,0
060010032,35,108,1,51
060010033,3,10,0,0
060010035,24,52,1,6
060010341,5,10,0,0
060020001,1775,6110,3,59
060020109,13,26,0,0
060030001,123,363,0,0
060030033,1,51,0,0
060030035,45,132,0,0
060030037,2,4,1,51
060030427,1,11,0,0
060040001,131,303,1,31
060040015,15,30,0,0
060050001,99,214,0,0
060050018,97,210,0,0
060050023,44,114,0,0
060050099,1,2,0,0
060050430,1,6,0,0
060060001,54,125,0,0
060070001,1560,6473,85,470
060070021,65,138,10,46
060070039,1,251,0,0
060070129,1,2,0,0
060080001,67,146,0,0
060090001,850,2121,18,200
060090011,70,170,1,2
060090014,17,60,1,11
060090019,1,2,0,0
060090025,55,114,4,41
060090080,26,56,1,31
060090203,21,203,0,0
060100001,1104,2884,0,0
060100037,1,2,0,0
070010001,132,264,1,2
070020001,136,276,6,12
070030001,136,280,2,8
070030046,31,62,0,0
070030152,1,2,0,0
070040001,130,260,0,0
070050001,22,44,0,0
070060001,9,18,0,0
070060038,48,96,0,0
070070001,26,60,1,2
070080001,228,484,0,0
070080016,25,50,0,0
070090001,342,755,3,10
070090041,37,74,11,51
070100001,7,14,0,0
070110001,29,58,0,0
070120001,220,504,0,0
070130001,160,320,0,0
070140001,24,48,0,0
070150001,212,428,0,0
070150043,13,26,0,0
070150052,9,18,0,0
070150164,1,2,0,0
070160001,58,116,2,62
070160147,4,12,0,0
070170001,561,1229,0,0
070170060,22,44,0,0
070180001,57,114,0,0
070190001,1622,3900,1,11
070200001,153,306,3,163
070200003,45,99,2,4
070200017,1,2,0,0
070200145,47,98,1,11
070210001,153,314,1,2
070220001,25,50,0,0
070230001,94,192,0,0
070230009,1,2,0,0
070240001,3,6,0,0
070250001,20,40,0,0
070260001,44,92,0,0
070270001,418,1009,1,6
070270549,1,6,0,0
070270622,30,60,0,0
070270629,1,2,0,0
070270689,1,11,0,0
070280001,19,38,0,0
070290001,65,130,1,11
070300001,117,247,0,0
070300042,15,30,0,0
070300374,3,6,0,0
070310001,90,192,0,0
070310009,81,162,0,0
070320001,225,483,0,0
070320070,30,60,0,0
070330042,4,8,0,0
070340001,432,969,0,0
070340003,1,2,0,0
070340014,2,4,0,0
070340053,105,218,0,0
070340169,1,6,0,0
070340172,1,2,0,0
070340239,1,6,0,0
070340447,3,6,0,0
070350001,55,119,0,0
070360001,29,58,0,0
070370001,94,192,0,0
070370059,179,362,1,6
070380001,17,42,0,0
070390001,36,72,0,0
070400001,665,1419,0,0
070400206,2,4,0,0
070410001,41,90,0,0
070410026,1,2,0,0
070410081,38,88,0,0
070410083,8,16,0,0
070420001,41,82,0,0
070430001,48,100,0,0
070440001,61,126,0,0
070440103,1,2,0,0
070450001,18,36,0,0
070460001,66,136,0,0
070460103,12,24,0,0
070470001,48,96,0,0
070480001,127,271,1,2
070490001,52,116,0,0
070490010,2,4,0,0
070500001,24,48,1,11
070510001,359,767,1,2
070520001,223,466,1,2
070520091,1,2,0,0
070530001,9,18,0,0
070540001,152,308,0,0
070540006,79,162,0,0
070550001,40,80,0,0
070560001,1,2,0,0
070570001,391,839,0,0
070580001,5,10,0,0
070590001,613,1405,0,0
070590002,8,16,0,0
070590418,25,50,0,0
070590431,59,140,1,2
070593219,1,2,0,0
070600001,26,52,0,0
070610001,407,842,0,0
070610113,11,22,0,0
070610699,1,2,0,0
070611579,1,2,0,0
070620001,53,114,0,0
070620139,1,2,0,0
070630001,27,58,1,31
070640001,64,128,0,0
070640047,1,2,0,0
070650001,782,2250,1,6
070650515,1,101,0,0
070650783,2,12,0,0
070651326,1,2,0,0
070651331,1,11,0,0
070651345,1,11,0,0
070651424,1,6,0,0
070660001,47,94,0,0
070670001,18,40,0,0
070680001,240,512,1,2
070680110,1,6,0,0
070690001,344,736,0,0
070691114,2,4,0,0
070691725,1,2,0,0
070691780,1,2,0,0
070700001,52,104,0,0
070710001,150,308,0,0
070720001,91,186,0,0
070730001,39,82,0,0
070740001,312,677,0,0
070750001,130,276,0,0
070750253,1,2,0,0
070760001,46,123,0,0
070770001,130,272,0,0
070770230,1,51,0,0
070780001,2351,7027,0,0
070780172,1,2,0,0
070790001,117,234,0,0
070790281,1,2,0,0
070800001,89,178,0,0
070810001,139,290,0,0
070820001,24,48,0,0
070830001,41,82,0,0
070840001,20,40,0,0
070850001,23,46,0,0
070850005,4,8,0,0
070850034,1,2,0,0
070860001,154,325,0,0
070870001,232,590,0,0
070870014,37,74,0,0
070870035,1,2,0,0
070880001,6,12,0,0
070890001,2539,6725,7,31
070890046,107,214,1,2
070890057,27,54,0,0
070890111,2,4,0,0
070890148,250,529,31,521
070890150,26,56,0,0
070890261,1,2,3,44
070890991,35,70,0,0
070890994,2,8,0,0
070891025,26,52,0,0
070900001,13,26,0,0
070910001,93,190,0,0
070920001,98,200,2,8
070920011,1,2,0,0
070930001,39,82,0,0
070940001,168,352,0,0
070940195,1,2,0,0
070960001,79,162,1,2
070960040,60,124,0,0
070960048,3,6,0,0
070960055,36,72,2,4
070970001,547,1288,3,104
070970002,79,262,9,65
070970006,34,76,8,339
070970017,41,82,0,0
070970040,92,241,16,593
070970246,1,6,0,0
070970740,1,11,0,0
070970748,1,6,0,0
070980001,9,18,0,0
070990001,104,216,0,0
070990073,17,34,0,0
070990114,39,82,0,0
070990136,10,20,0,0
070990176,1,11,0,0
071000001,24,48,0,0
071000063,1,6,0,0
071010001,5570,16384,13,48
071010037,71,150,1,2
071010045,48,104,0,0
071010420,3,6,0,0
071020001,134,272,0,0
